Filtro almacén,Filtro zona,Nº producto,Descripción producto,Cód. unidad medida,Cantidad,Cantidad (base),Cant. a traer disponible,Cód. ubicación,ItemDescription,Cant. en ubicación ajuste
BOD-CINER1,,COF0035,COFRE BASICO (LENGA NATURAL),UNIDAD,307.00,307.,307.00,UBIA01,COFRE BASICO (LENGA NATURAL),0.00
BOD-CINER1,,COF0039,COFRE LENGA BASICO MINI SEMI OPACO (9 x 5 x 5),UNIDAD,10.00,10.,10.00,UBIA01,COFRE LENGA BASICO MINI SEMI OPACO (9 x 5 x 5),0.00
BOD-CINER1,,COF0048,COFRE MADERA RAULI NOGAL,UNIDAD,3.00,3.,3.00,UBIA01,COFRE MADERA RAULI NOGAL,0.00
BOD-CINER1,,COF0049,COFRE MADERA RAULI ALTO BRILLO,UNIDAD,5.00,5.,5.00,UBIA01,COFRE MADERA RAULI ALTO BRILLO,0.00
BOD-CINER1,,COF0051,COFRE LENGA ESPECIAL MINI,UNIDAD,10.00,10.,10.00,UBIA01,COFRE LENGA ESPECIAL MINI,0.00
BOD-CINER1,,COF0059,COFRE LENGA PARVULO,UNIDAD,4.00,4.,4.00,UBIA01,COFRE LENGA PARVULO,0.00
BOD-CINER1,,COF0061,COFRE CUBO PARVULO BLANCO,UNIDAD,2.00,2.,2.00,UBIA01,COFRE CUBO PARVULO BLANCO,0.00
BOD-CINER1,,COF0062,COFRE CUBO PARVULO ROSADO,UNIDAD,2.00,2.,2.00,UBIA01,COFRE CUBO PARVULO ROSADO,0.00
BOD-CINER1,,COF0063,COFRE CUBO PARVULO CELESTE,UNIDAD,2.00,2.,2.00,UBIA01,COFRE CUBO PARVULO CELESTE,0.00
BOD-CINER1,,COF0065,COFRE ADULTO OVALADO TEMATICO ALTO BRILLO,UNIDAD,3.00,3.,3.00,UBIA01,COFRE ADULTO OVALADO TEMATICO ALTO BRILLO,0.00
BOD-CINER1,,COF0068,COFRE APUS MADERA PINO COLOR MIEL,UNIDAD,2.00,2.,2.00,UBIA01,COFRE APUS MADERA PINO COLOR MIEL,0.00
BOD-CINER1,,COF0070,COFRE CAELUM COLOR NOGAL,UNIDAD,2.00,2.,2.00,UBIA01,COFRE CAELUM COLOR NOGAL,0.00
BOD-CINER1,,COF0071,COFRE HYDRA PINO NATURAL,UNIDAD,2.00,2.,2.00,UBIA01,COFRE HYDRA PINO NATURAL,0.00
BOD-CINER1,,COF0072,COFRE INDUS MADERA LENGA NATURAL,UNIDAD,2.00,2.,2.00,UBIA01,COFRE INDUS MADERA LENGA NATURAL,0.00
BOD-CINER1,,COF0073,COFRE CUBO MINI CON LOGO,UNIDAD,2.00,2.,2.00,UBIA01,COFRE CUBO MINI CON LOGO,0.00
